id,source_dataset,class,query,gold_doc_ids,expected_collections,pass_at,rank,hit,top1_doc_id,top1_collection,top1_score,top5_doc_ids
Q01,caselaw,direct,Rai Bahadur L Panna Lal 2 ITC 432 Lahore standard rate 10 per cent assessment,101010000000039445,metadata;headnotes;held,5,1,Y,101010000000039445,metadata,0.45356056094169617,101010000000039445;101010000000039445;101010000000039455;101010000000010050;101010000000039445
Q02,caselaw,indirect,"Can a tax officer estimate a contractor's profit at a flat percentage when accounts for one year cannot be separated, without revealing the material used or allowing rebuttal?",101010000000039445,facts;held;case_summary,10,1,Y,101010000000039445,digest,0.6124009490013123,101010000000039445;101010000000039445;101010000000039445;101010000000039445;101010000000048750
Q03,caselaw,direct,32 ITR 190 Provident Investment managing agency section 12B capital gains,101010000000078684,metadata;headnotes,5,4,Y,101010000000017254,ruling,0.49167221784591675,101010000000017254;101010000000016321;101010000000016134;101010000000078684;101010000000040368
Q04,caselaw,indirect,Is money received for resigning from a managing agency taxable as capital gains when the agency itself was never sold or transferred?,101010000000078684,held;ruling;case_summary,10,1,Y,101010000000078684,headnotes,0.6536688804626465,101010000000078684;101010000000078684;101010000000078866;101010000000078684;101010000000078866
Q05,caselaw,direct,Commissioner of Customs Indian Oil 136 Taxman 491 demurrage section 14 151A,101010000000080330,metadata;headnotes,5,1,Y,101010000000080330,headnotes,0.5256748199462891,101010000000080330;101010000000080330;101010000000115422;101010000000080330;101010000000120857
Q06,caselaw,indirect,Can the customs department ignore its own still-operative Board circular and add port delay charges to the assessable value of imported goods?,101010000000080330,digest;held;case_summary,10,1,Y,101010000000080330,digest,0.49188947677612305,101010000000080330;101010000000122135;101010000000104035;101010000000122135;101010000000080330
Q07,caselaw,direct,Gharda Chemicals Rule 57G Modvat invoice head office Dombivli plant,101010000000113817,metadata;headnotes,5,1,Y,101010000000113817,headnotes,0.5995267033576965,101010000000113817;101010000000128049;101010000000118074;101010000000118400;101010000000116003
Q08,caselaw,indirect,May a factory claim excise input credit when the supplier's invoice names the company's head office but the goods reached the factory and the office endorsed the invoice to it?,101010000000113817,facts;held;case_summary,10,8,Y,101010000000128049,headnotes,0.6527203917503357,101010000000128049;101010000000116997;101010000000118074;101010000000116433;101010000000118400
Q09,caselaw,direct,Ali Jawad Rizvi Indo French Biotech 1025 per cent return corporate veil,101010000000017665,metadata;headnotes;facts,5,2,Y,101010000000017666,metadata,0.4526718854904175,101010000000017666;101010000000017665;101010000000084270;101010000000084270;101010000000160700
Q10,caselaw,indirect,"Can a court order investigators to trace and seize a company's property when many investors appear to have been defrauded through an investment scheme, even if no statute expressly grants that power?",101010000000017665,facts;held;ruling,10,1,Y,101010000000017665,headnotes,0.6001394391059875,101010000000017665;101010000000018078;101010000000017665;101010000000018078;101010000000017755
Q11,caselaw,direct,Alka Khandu Avhad section 138 141 non signatory wife joint liability cheque,101010000000198659,metadata;headnotes;held,5,1,Y,101010000000198659,ruling,0.6360250115394592,101010000000198659;101010000000198659;101010000000352687;101010000000352687;101010000000352687
Q12,caselaw,indirect,A husband issued a cheque for a jointly owed debt and it bounced. Can his wife also be criminally prosecuted when she did not sign it and the bank account was not joint?,101010000000198659,facts;held;case_summary,10,2,Y,101010000000352687,ruling,0.6340930461883545,101010000000352687;101010000000198659;101010000000198659;101010000000352687;101010000000352687
Q13,caselaw,direct,Vinodkumar Chechani section 83 rule 159 provisional attachment bank accounts 22000,101010000000197847,metadata;headnotes;facts,5,2,Y,101010000000198188,ruling,0.4819098114967346,101010000000198188;101010000000197847;101010000000389442;101010000000196756;101010000000197847
